"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.685698700E-2,-2.133750153E1,-4.987500191E0,-4.254375076E1
3.685698700E-2,-2.019375038E1,-4.068750381E0,-4.093125153E1
4.685698700E-2,-2.101875114E1,-4.687500000E0,-4.286250305E1
5.685698700E-2,-1.927500153E1,-3.337500095E0,-4.323750305E1
6.685698700E-2,-2.004375076E1,-3.525000095E0,-4.246875000E1
7.685698700E-2,-2.081250000E1,-3.843750238E0,-4.138125229E1
8.685698700E-2,-2.055000114E1,-4.518750191E0,-4.333125305E1
9.685698700E-2,-2.075625038E1,-6.206250191E0,-4.248750305E1
1.068569870E-1,-2.083125114E1,-3.843750238E0,-4.335000229E1
1.168569870E-1,-2.098125076E1,-3.712500095E0,-4.290000153E1
1.268569870E-1,-2.150625038E1,-5.831250191E0,-4.158750153E1
1.368569870E-1,-2.131875038E1,-4.987500191E0,-4.209375000E1
1.468569870E-1,-2.126250076E1,-3.731250048E0,-4.123125076E1
1.568569870E-1,-2.103750038E1,-4.968750000E0,-4.314375305E1
1.668569870E-1,-2.236875153E1,-4.218750000E0,-4.179375076E1
1.768569870E-1,-2.146875000E1,-4.575000286E0,-4.194375229E1
1.868569870E-1,-2.098125076E1,-4.125000000E0,-4.213125229E1
1.968569870E-1,-2.026875114E1,-4.931250095E0,-4.346250153E1
2.068569870E-1,-1.946250153E1,-4.462500095E0,-4.303125000E1
2.168569870E-1,-2.146875000E1,-4.575000286E0,-4.239375305E1
2.268569870E-1,-2.081250000E1,-3.843750238E0,-4.200000000E1
2.368569870E-1,-2.019375038E1,-4.087500095E0,-4.123125076E1
2.468569870E-1,-2.178750038E1,-4.743750095E0,-4.284375000E1
2.568569870E-1,-1.974375153E1,-3.768750191E0,-4.276875305E1
2.668569870E-1,-2.145000076E1,-4.293750286E0,-4.166250229E1
2.768569870E-1,-2.051250076E1,-3.543750048E0,-4.306875229E1
2.868569870E-1,-2.195625114E1,-4.612500191E0,-4.359375000E1
2.968569870E-1,-2.002500153E1,-3.243750095E0,-4.278750229E1
3.068569870E-1,-2.086875153E1,-5.100000381E0,-4.239375305E1
3.168569870E-1,-2.083125114E1,-4.256250381E0,-4.243125153E1
3.268569870E-1,-2.100000000E1,-4.406250000E0,-4.211250305E1
3.368569870E-1,-1.974375153E1,-3.768750191E0,-4.246875000E1
3.468569870E-1,-1.944375038E1,-4.181250095E0,-4.305000305E1
3.568569870E-1,-2.053125000E1,-3.825000048E0,-4.305000305E1
3.668569870E-1,-2.083125114E1,-4.256250381E0,-4.243125153E1
3.768569870E-1,-2.208750153E1,-4.481250286E0,-4.284375000E1
3.868569870E-1,-1.991250038E1,-4.068750381E0,-4.320000076E1
3.968569870E-1,-2.051250076E1,-3.543750048E0,-4.306875229E1
4.068569870E-1,-1.957500076E1,-3.075000048E0,-4.325625229E1
4.168569870E-1,-2.208750153E1,-5.043750286E0,-4.085625076E1
4.268569870E-1,-2.098125076E1,-4.125000000E0,-4.153125000E1
4.368569870E-1,-2.021250153E1,-4.087500095E0,-4.183125305E1
4.468569870E-1,-2.145000076E1,-3.881250143E0,-4.243125153E1
4.568569870E-1,-2.019375038E1,-4.087500095E0,-4.153125000E1
4.668569870E-1,-2.070000076E1,-4.950000286E0,-4.149375153E1
4.768569870E-1,-2.098125076E1,-3.712500095E0,-4.260000229E1
4.868569870E-1,-2.109375000E1,-3.037500143E0,-4.246875000E1
4.968569870E-1,-2.002500153E1,-3.506250143E0,-4.141875076E1
5.068569870E-1,-2.143125153E1,-3.881250143E0,-4.108125305E1
5.168569870E-1,-2.128125000E1,-3.468750238E0,-4.320000076E1
5.268569870E-1,-2.139375114E1,-5.981250286E0,-4.385625076E1
5.368569870E-1,-1.991250038E1,-4.893750191E0,-4.089375305E1
5.468569870E-1,-1.995000076E1,-5.587500095E0,-4.177500153E1
5.568569870E-1,-2.255625153E1,-4.931250095E0,-4.192500305E1
5.668569870E-1,-2.148750114E1,-5.831250191E0,-4.053750229E1
5.768569870E-1,-2.115000153E1,-4.293750286E0,-4.241250229E1
5.868569870E-1,-2.098125076E1,-4.406250000E0,-4.151250076E1
5.968569870E-1,-2.021250153E1,-4.350000381E0,-4.153125000E1
6.068569870E-1,-2.070000076E1,-4.668750286E0,-4.286250305E1
6.168569870E-1,-2.130000114E1,-4.162500381E0,-4.258125305E1
6.268569870E-1,-1.978125000E1,-5.025000095E0,-4.194375229E1
6.368569870E-1,-1.845000076E1,-3.000000000E0,-4.160625076E1
6.468569870E-1,-2.131875038E1,-4.162500381E0,-4.318125153E1
6.568569870E-1,-1.929375076E1,-4.031250000E0,-4.321875000E1
6.668569870E-1,-2.023125076E1,-4.368750095E0,-4.258125305E1
6.768569870E-1,-2.004375076E1,-3.787500143E0,-4.200000000E1
6.868569870E-1,-2.205000114E1,-3.506250143E0,-4.290000153E1
6.968569870E-1,-1.976250076E1,-4.481250286E0,-4.273125076E1
7.068569870E-1,-1.953750038E1,-3.337500095E0,-4.096875000E1
7.168569870E-1,-2.128125000E1,-3.187500238E0,-4.321875000E1
7.268569870E-1,-2.083125114E1,-4.537500381E0,-4.166250229E1
7.368569870E-1,-2.004375076E1,-4.218750000E0,-4.168125153E1
7.468569870E-1,-2.328750038E1,-3.731250048E0,-4.196250153E1
7.568569870E-1,-2.101875114E1,-4.968750000E0,-4.209375000E1
7.668569870E-1,-2.221875000E1,-3.375000238E0,-4.305000305E1
7.768569870E-1,-1.916250038E1,-4.706250191E0,-4.273125076E1
7.868569870E-1,-2.203125000E1,-3.506250143E0,-4.153125000E1
7.968569870E-1,-2.191875076E1,-3.918750048E0,-4.333125305E1
8.068569870E-1,-2.100000000E1,-4.425000191E0,-4.286250305E1
8.168569870E-1,-1.976250076E1,-4.743750095E0,-4.166250229E1
8.268569870E-1,-2.116875076E1,-4.575000286E0,-4.301250076E1
8.368569870E-1,-2.197500038E1,-4.893750191E0,-4.359375000E1
8.468569870E-1,-2.071875000E1,-5.362500191E0,-4.177500153E1
8.568569870E-1,-2.085000038E1,-4.275000095E0,-4.333125305E1
8.668569870E-1,-2.148750114E1,-5.137500286E0,-4.237500000E1
8.768569870E-1,-1.972500038E1,-3.506250143E0,-4.276875305E1
8.868569870E-1,-2.100000000E1,-4.406250000E0,-4.211250305E1
8.968569870E-1,-2.101875114E1,-4.425000191E0,-4.316250229E1
9.068569870E-1,-2.085000038E1,-4.818750381E0,-4.134375000E1
