"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.881980000E-2,1.527161949E-4,2.290742937E-3,1.069013379E-3
2.094740400E-2,-1.069013379E-3,1.069013379E-3,1.069013379E-3
2.307495600E-2,1.527161949E-4,1.069013379E-3,2.290742937E-3
2.520250800E-2,1.527161949E-4,1.069013379E-3,1.069013379E-3
2.733006000E-2,1.374445739E-3,-1.527161949E-4,1.069013379E-3
2.945761200E-2,2.596175298E-3,-1.527161949E-4,-1.527161949E-4
3.158521600E-2,1.527161949E-4,1.069013379E-3,1.069013379E-3
3.371276800E-2,1.527161949E-4,-1.527161949E-4,-1.527161949E-4
3.584032100E-2,1.527161949E-4,-1.527161949E-4,-1.527161949E-4
3.796787300E-2,-1.069013379E-3,-1.527161949E-4,1.069013379E-3
4.009542500E-2,-2.290742937E-3,1.069013379E-3,1.069013379E-3
4.222302900E-2,-3.512472380E-3,1.069013379E-3,1.069013379E-3
4.435058100E-2,-3.512472380E-3,-2.596175298E-3,-1.527161949E-4
4.647813300E-2,1.527161949E-4,-1.374445739E-3,-1.527161949E-4
4.860568500E-2,1.374445739E-3,1.069013379E-3,-1.527161949E-4
5.073323700E-2,1.527161949E-4,-1.374445739E-3,-1.374445739E-3
5.286084100E-2,-1.069013379E-3,-1.527161949E-4,-1.527161949E-4
5.498839300E-2,1.374445739E-3,-1.527161949E-4,-1.527161949E-4
5.711594600E-2,1.527161949E-4,-1.527161949E-4,-1.527161949E-4
5.924349800E-2,1.527161949E-4,-1.374445739E-3,-1.374445739E-3
6.137110200E-2,1.527161949E-4,1.069013379E-3,-1.527161949E-4
6.349865400E-2,1.527161949E-4,1.069013379E-3,1.069013379E-3
6.562620600E-2,1.527161949E-4,-1.527161949E-4,-1.527161949E-4
6.775375800E-2,1.527161949E-4,-1.527161949E-4,-1.527161949E-4
6.988131000E-2,-2.290742937E-3,-1.527161949E-4,1.069013379E-3
7.200891400E-2,1.527161949E-4,-1.374445739E-3,-1.527161949E-4
7.413646600E-2,-1.069013379E-3,-1.527161949E-4,1.069013379E-3
7.626401800E-2,-1.069013379E-3,-1.527161949E-4,-1.527161949E-4
7.839157100E-2,-1.069013379E-3,-1.527161949E-4,-1.527161949E-4
8.051912300E-2,1.527161949E-4,-1.527161949E-4,-1.527161949E-4
8.264667500E-2,1.527161949E-4,1.069013379E-3,1.069013379E-3
