"event","experiment time","system time","system time text"
"START",0.000000000E0,1777356903.199,"2026-04-28 14:15:03.199 UTC+08:00"
"PAUSE",6.702195185E1,1777356970.221,"2026-04-28 14:16:10.221 UTC+08:00"
