"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.565016400E-2,-1.920000076E1,-5.418750286E0,-4.329375076E1
3.565016400E-2,-1.818750000E1,-3.543750048E0,-4.323750305E1
4.565016400E-2,-1.980000114E1,-4.762500286E0,-4.363125229E1
5.565016400E-2,-2.130000114E1,-3.731250048E0,-4.290000153E1
6.565016400E-2,-2.070000076E1,-4.387500286E0,-4.258125305E1
7.565016400E-2,-2.070000076E1,-3.712500095E0,-4.456875229E1
8.565016400E-2,-1.912500000E1,-3.468750238E0,-4.368750000E1
9.565016400E-2,-2.115000153E1,-3.600000143E0,-4.411875153E1
1.056501640E-1,-2.055000114E1,-4.518750191E0,-4.301250076E1
1.156501640E-1,-2.055000114E1,-4.518750191E0,-4.301250076E1
1.256501640E-1,-1.961250114E1,-4.331250191E0,-4.258125305E1
1.356501640E-1,-1.974375153E1,-3.768750191E0,-4.276875305E1
1.456501640E-1,-1.920000076E1,-4.987500191E0,-4.408125305E1
1.556501640E-1,-1.869375038E1,-4.125000000E0,-4.441875076E1
1.656501640E-1,-2.002500153E1,-2.962500095E0,-4.308750153E1
1.756501640E-1,-2.083125114E1,-3.300000191E0,-4.366875076E1
1.856501640E-1,-2.006250000E1,-3.806250095E0,-4.305000305E1
1.956501640E-1,-1.882500076E1,-3.993750095E0,-4.321875000E1
2.056501640E-1,-1.981875038E1,-5.043750286E0,-4.406250000E1
2.156501640E-1,-2.088750076E1,-4.837500095E0,-4.406250000E1
2.256501640E-1,-2.083125114E1,-3.300000191E0,-4.366875076E1
2.356501640E-1,-1.916250038E1,-4.443750381E0,-4.365000153E1
2.456501640E-1,-1.976250076E1,-3.225000143E0,-4.550625229E1
2.556501640E-1,-1.916250038E1,-4.443750381E0,-4.335000229E1
2.656501640E-1,-2.182500076E1,-5.437500000E0,-4.280625153E1
2.756501640E-1,-2.021250153E1,-3.393750191E0,-4.351875305E1
2.856501640E-1,-2.083125114E1,-3.581250191E0,-4.366875076E1
2.956501640E-1,-1.946250153E1,-4.181250095E0,-4.410000229E1
3.056501640E-1,-2.023125076E1,-4.087500095E0,-4.350000000E1
3.156501640E-1,-2.085000038E1,-4.275000095E0,-4.303125000E1
3.256501640E-1,-2.085000038E1,-4.275000095E0,-4.333125305E1
3.356501640E-1,-2.214375114E1,-5.043750286E0,-4.419375229E1
3.456501640E-1,-2.128125000E1,-3.468750238E0,-4.320000076E1
3.556501640E-1,-2.079375076E1,-3.562500238E0,-4.170000076E1
3.656501640E-1,-2.051250076E1,-3.543750048E0,-4.306875229E1
3.756501640E-1,-2.124375153E1,-5.137500286E0,-4.569375229E1
3.856501640E-1,-2.006250000E1,-3.806250095E0,-4.366875076E1
3.956501640E-1,-2.146875000E1,-3.618750095E0,-4.410000229E1
4.056501640E-1,-2.178750038E1,-3.787500143E0,-4.485000229E1
4.156501640E-1,-1.867500114E1,-4.406250000E0,-4.275000000E1
4.256501640E-1,-2.120625114E1,-4.856250286E0,-4.466250229E1
4.356501640E-1,-2.025000000E1,-4.650000095E0,-4.316250229E1
4.456501640E-1,-2.090625000E1,-5.118750095E0,-4.434375000E1
4.556501640E-1,-2.116875076E1,-4.556250095E0,-4.241250229E1
4.656501640E-1,-2.115000153E1,-4.293750286E0,-4.241250229E1
4.756501640E-1,-2.085000038E1,-3.581250191E0,-4.411875153E1
4.856501640E-1,-1.978125000E1,-4.743750095E0,-4.271250153E1
4.956501640E-1,-2.083125114E1,-3.562500238E0,-4.305000305E1
5.056501640E-1,-2.086875153E1,-4.818750381E0,-4.301250076E1
5.156501640E-1,-1.938750076E1,-5.850000381E0,-4.449375153E1
5.256501640E-1,-2.071875000E1,-4.687500000E0,-4.391250229E1
5.356501640E-1,-2.025000000E1,-4.368750095E0,-4.455000305E1
5.456501640E-1,-1.993125153E1,-4.350000381E0,-4.395000076E1
5.556501640E-1,-1.963125038E1,-4.050000191E0,-4.426875305E1
5.656501640E-1,-2.006250000E1,-3.525000095E0,-4.443750000E1
5.756501640E-1,-1.944375038E1,-3.206250191E0,-4.445625305E1
5.856501640E-1,-1.944375038E1,-4.443750381E0,-4.243125153E1
5.956501640E-1,-2.086875153E1,-4.556250095E0,-4.408125305E1
6.056501640E-1,-2.049375153E1,-3.262500048E0,-4.276875305E1
6.156501640E-1,-1.991250038E1,-3.656250238E0,-4.396875000E1
