"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.882657000E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
2.095412200E-2,1.069013379E-3,-1.374445739E-3,-4.581485991E-4
2.308162200E-2,-1.527161949E-4,-1.374445739E-3,-4.581485991E-4
2.520917400E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
2.733672600E-2,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
2.946422600E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
3.159177900E-2,-2.596175298E-3,1.069013379E-3,7.635809598E-4
3.371927900E-2,-1.527161949E-4,-1.374445739E-3,-4.581485991E-4
3.584683100E-2,1.069013379E-3,-1.527161949E-4,-4.581485991E-4
3.797438300E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
4.010188300E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
4.222943500E-2,-1.527161949E-4,-2.596175298E-3,7.635809598E-4
4.435698700E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
4.648448700E-2,-1.527161949E-4,-1.374445739E-3,-4.581485991E-4
4.861203900E-2,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
5.073959100E-2,-1.527161949E-4,2.290742937E-3,7.635809598E-4
5.286709100E-2,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
5.499464300E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
5.712219500E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
5.924969500E-2,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
6.137724700E-2,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
6.350479900E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
6.563229900E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
6.775985100E-2,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
6.988735100E-2,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
7.201490400E-2,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
7.414245600E-2,-1.527161949E-4,-1.527161949E-4,-1.679878100E-3
7.626995600E-2,-1.527161949E-4,1.069013379E-3,-4.581485991E-4
7.839750800E-2,1.069013379E-3,-1.527161949E-4,-4.581485991E-4
8.052506000E-2,-1.527161949E-4,-1.527161949E-4,-1.679878100E-3
8.265256000E-2,-1.527161949E-4,-1.374445739E-3,-4.581485991E-4
8.478011200E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
8.690761200E-2,-1.374445739E-3,1.069013379E-3,7.635809598E-4
8.903516400E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
9.116271600E-2,1.069013379E-3,-1.527161949E-4,-4.581485991E-4
9.329026800E-2,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
9.541776800E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
9.754532000E-2,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
9.967282000E-2,-1.374445739E-3,1.069013379E-3,-4.581485991E-4
1.018003720E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.039279240E-1,-1.374445739E-3,-1.527161949E-4,-1.679878100E-3
1.060554240E-1,-1.527161949E-4,-1.527161949E-4,-1.679878100E-3
1.081829760E-1,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
1.103105290E-1,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
1.124380290E-1,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
1.145655810E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.166931330E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.188206330E-1,2.290742937E-3,1.069013379E-3,7.635809598E-4
1.209481850E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.230756850E-1,1.069013379E-3,-1.527161949E-4,-4.581485991E-4
1.252032370E-1,-1.527161949E-4,-1.374445739E-3,-4.581485991E-4
1.273307890E-1,-1.374445739E-3,-1.374445739E-3,-4.581485991E-4
1.294582890E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.315858410E-1,-1.527161949E-4,-1.374445739E-3,7.635809598E-4
1.337133930E-1,1.069013379E-3,1.069013379E-3,7.635809598E-4
1.358408930E-1,-1.374445739E-3,-1.527161949E-4,-4.581485991E-4
1.379684450E-1,-1.374445739E-3,-1.527161949E-4,-1.679878100E-3
1.400959970E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.422234970E-1,1.069013379E-3,-1.527161949E-4,-4.581485991E-4
1.443510490E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.464785490E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.486061010E-1,-1.374445739E-3,-1.374445739E-3,-4.581485991E-4
1.507336540E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.528611540E-1,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
1.549887060E-1,1.069013379E-3,-1.527161949E-4,7.635809598E-4
1.571162580E-1,-1.527161949E-4,1.069013379E-3,7.635809598E-4
1.592437580E-1,-1.527161949E-4,-1.527161949E-4,-1.679878100E-3
1.613713100E-1,-1.527161949E-4,-1.374445739E-3,-4.581485991E-4
1.634988620E-1,-1.527161949E-4,1.069013379E-3,-4.581485991E-4
1.656263620E-1,2.290742937E-3,1.069013379E-3,-1.679878100E-3
1.677539140E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.698814660E-1,1.069013379E-3,-1.374445739E-3,7.635809598E-4
1.720089660E-1,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
1.741365180E-1,-1.374445739E-3,-1.374445739E-3,-4.581485991E-4
1.762640700E-1,-1.527161949E-4,1.069013379E-3,7.635809598E-4
1.783915700E-1,-1.527161949E-4,1.069013379E-3,-4.581485991E-4
1.805191220E-1,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
1.826466740E-1,-1.374445739E-3,1.069013379E-3,7.635809598E-4
1.847741740E-1,1.069013379E-3,1.069013379E-3,-4.581485991E-4
1.869017260E-1,-1.374445739E-3,-1.374445739E-3,7.635809598E-4
1.890292260E-1,-1.374445739E-3,1.069013379E-3,7.635809598E-4
1.911567790E-1,2.290742937E-3,-1.374445739E-3,-1.679878100E-3
1.932843310E-1,1.069013379E-3,1.069013379E-3,7.635809598E-4
1.954118310E-1,-1.527161949E-4,-1.527161949E-4,-4.581485991E-4
1.975393830E-1,-1.527161949E-4,-1.527161949E-4,7.635809598E-4
1.996669350E-1,-2.596175298E-3,-1.527161949E-4,7.635809598E-4
2.017944350E-1,-1.374445739E-3,-1.527161949E-4,7.635809598E-4
2.039219870E-1,1.069013379E-3,-1.527161949E-4,7.635809598E-4
2.060495390E-1,-1.527161949E-4,1.069013379E-3,7.635809598E-4
2.081770390E-1,1.069013379E-3,-1.527161949E-4,-4.581485991E-4
