"event","experiment time","system time","system time text"
"START",0.000000000E0,1777356632.084,"2026-04-28 14:10:32.084 UTC+08:00"
"PAUSE",3.200882764E1,1777356664.092,"2026-04-28 14:11:04.092 UTC+08:00"
