"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.945181970E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
1.966457490E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
1.987733010E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
2.009009050E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
2.030284570E-1,-9.162971983E-4,-4.581485991E-4,-1.679878100E-3
2.051560090E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
2.072835610E-1,1.527161920E-3,1.985310577E-3,7.635809598E-4
2.094111140E-1,3.970621154E-3,-4.581485991E-4,-4.581485991E-4
2.115387180E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
2.136662700E-1,-9.162971983E-4,-1.679878100E-3,-1.679878100E-3
2.157938220E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
2.179213740E-1,1.527161920E-3,-4.581485991E-4,-1.679878100E-3
2.200489260E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.221764780E-1,3.054323897E-4,-1.679878100E-3,7.635809598E-4
2.243040300E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
2.264316340E-1,3.054323897E-4,-4.581485991E-4,-1.679878100E-3
2.285591860E-1,3.970621154E-3,-1.679878100E-3,-4.581485991E-4
2.306867390E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.328142910E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.349418430E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
2.370693950E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
2.391969990E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
2.413245510E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.434521030E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
2.455796550E-1,3.054323897E-4,7.635809598E-4,-1.679878100E-3
2.477072070E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
2.498347590E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
2.519623640E-1,2.748891478E-3,7.635809598E-4,7.635809598E-4
2.540899160E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.562174680E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
2.583450200E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
2.604725720E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.626001240E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
2.647277280E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
2.668552800E-1,-9.162971983E-4,1.985310577E-3,-4.581485991E-4
2.689828320E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
2.711103840E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
2.732379360E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
2.753654890E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
2.774930930E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
2.796206450E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
2.817481970E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
2.838757490E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
2.860033010E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
2.881308530E-1,3.054323897E-4,-4.581485991E-4,1.985310577E-3
2.902584570E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
2.923860090E-1,3.054323897E-4,-1.679878100E-3,7.635809598E-4
2.945135610E-1,3.054323897E-4,7.635809598E-4,-1.679878100E-3
2.966411140E-1,-9.162971983E-4,1.985310577E-3,-4.581485991E-4
2.987686660E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
3.008962180E-1,3.054323897E-4,-4.581485991E-4,-1.679878100E-3
3.030238220E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
3.051513740E-1,1.527161920E-3,-1.679878100E-3,-4.581485991E-4
3.072789260E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
3.094064780E-1,3.054323897E-4,-1.679878100E-3,-1.679878100E-3
3.115340300E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
3.136615820E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
3.157891340E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
3.179167390E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
3.200442910E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
3.221718430E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
3.242993950E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
3.264269470E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
3.285544990E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
3.306821030E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
3.328096550E-1,1.527161920E-3,-1.679878100E-3,-4.581485991E-4
3.349372070E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
3.370647590E-1,1.527161920E-3,-4.581485991E-4,7.635809598E-4
3.391923110E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
3.413199160E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
3.434474680E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
3.455750200E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
3.477025720E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
3.498301240E-1,3.054323897E-4,-4.581485991E-4,-1.679878100E-3
3.519576760E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
3.540852280E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
3.562128320E-1,1.527161920E-3,1.985310577E-3,7.635809598E-4
3.583403840E-1,-9.162971983E-4,7.635809598E-4,1.985310577E-3
3.604679360E-1,1.527161920E-3,-4.581485991E-4,7.635809598E-4
3.625954890E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
3.647230410E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
3.668506450E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
3.689781970E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
3.711057490E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
3.732333010E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
3.753608530E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
3.774884050E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
3.796160090E-1,-2.138026757E-3,7.635809598E-4,-4.581485991E-4
