"event","experiment time","system time","system time text"
"START",0.000000000E0,1777356812.238,"2026-04-28 14:13:32.238 UTC+08:00"
"PAUSE",3.359355139E1,1777356845.832,"2026-04-28 14:14:05.832 UTC+08:00"
